"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000178078",32.7128786240971,-0.239636663507434,0.26170711929272,0.12273733422018,0.334802806892986,"STAP2","55620"
"ENSG00000156642",2621.75796987653,0.179925520753064,0.135877528493769,0.122769925029673,0.334802806892986,"NPTN","27020"
"ENSG00000230565",14.9291544721185,-0.201286133455456,0.314177349374705,0.122790249608328,0.334802806892986,NA,NA
"ENSG00000169241",289.519143451216,-0.167451293853914,0.123242071194707,0.122800696620994,0.334802806892986,"SLC50A1","55974"
"ENSG00000260267",31.4415342759513,-0.237621707270884,0.285011079059397,0.122819306269362,0.334802806892986,NA,NA
"ENSG00000119185",1832.37508982463,0.205290290734726,0.166872973372822,0.122836533520231,0.334802806892986,"ITGB1BP1","9270"
"ENSG00000124772",14.6453848492834,0.192798242352782,0.315050832336939,0.122903974056825,0.334929960424476,"CPNE5","57699"
"ENSG00000231770",19.0489557328691,-0.224537722755083,0.308491162838571,0.122925144529673,0.334931000087529,NA,NA
"ENSG00000172594",2172.8098614964,0.198170558567511,0.157986447747898,0.122996482342469,0.335068705955279,"SMPDL3A","10924"
"ENSG00000130734",95.826096384215,0.21786254103004,0.186606885591009,0.123039873929779,0.335130246641195,"ATG4D","84971"
"ENSG00000169188",247.815419662355,-0.16052902042169,0.116449407327759,0.123115437397087,0.33527937997033,"APEX2","27301"
"ENSG00000196628",1786.44776430677,-0.108406057670423,0.0734630058188309,0.123139958590831,0.335289483328862,"TCF4","6925"
"ENSG00000041802",523.04451837163,0.156980056356396,0.11304262721514,0.123173291067963,0.335323570867852,"LSG1","55341"
"ENSG00000151414",2674.3829576641,0.16393418421675,0.119701410368116,0.123212220662829,0.335372881753477,"NEK7","140609"
"ENSG00000034063",85.1780106424029,-0.237873845614309,0.278704170401461,0.12325667438372,0.33542930357305,NA,NA
"ENSG00000261760",30.8030786020961,-0.16332196352698,0.306194767486573,0.123276010157671,0.33542930357305,NA,NA
"ENSG00000254827",16.1198106268505,-0.224760806485364,0.303827856567014,0.123295409084452,0.33542930357305,"SLC67A1-AS","5003"
"ENSG00000174628",260.828947717121,0.226619066554595,0.205362082694336,0.12334038023889,0.335494996797021,"IQCK","124152"
"ENSG00000256576",10.2129573093057,-0.156576207462209,0.303783060989139,0.123388338933302,0.33556879280122,"LINC02361","100996246"
"ENSG00000115896",404.207230586717,0.234316413164174,0.226439052021998,0.123512959688875,0.335851020008011,"PLCL1","5334"
"ENSG00000101473",299.624107005247,-0.153694133347192,0.110543088682902,0.123559987701448,0.335922200786034,"ACOT8","10005"
"ENSG00000179296",158.19430688039,-0.174676297626471,0.131375688948042,0.123868182394267,0.336703270888146,NA,NA
"ENSG00000104899",12.8557289833755,0.186735655019538,0.312800686270675,0.123903812886298,0.336743307930356,"AMH","268"
"ENSG00000082482",43.1471449755496,-0.234447420292127,0.289820577458458,0.123934267740905,0.336769267595499,"KCNK2","3776"
"ENSG00000188636",1000.39979987203,-0.175095374550086,0.13211931092083,0.124156228303056,0.337315513354222,"RTL6","84247"
"ENSG00000112977",3834.91214619891,-0.119631528997076,0.082354973164754,0.12431285464749,0.337629079303867,"DAP","1611"
"ENSG00000232533",193.468159521709,0.189129752216501,0.147160687102981,0.124313555858143,0.337629079303867,"FAM131B-AS2","100507507"
"ENSG00000245958",100.697617297363,-0.231370197784745,0.220205826485789,0.124418128271959,0.337825778263682,NA,NA
"ENSG00000147408",748.900337271295,0.239512617546234,0.26766238780084,0.124456855103863,0.337825778263682,"CSGALNACT1","55790"
"ENSG00000185513",119.315610719227,-0.204691349978541,0.168499373886754,0.124469721959491,0.337825778263682,"L3MBTL1","26013"
"ENSG00000213205",13.1247729552195,0.177611527282304,0.310589628379617,0.124469854122849,0.337825778263682,NA,NA
"ENSG00000244731",1109.39550093011,-0.230708513924611,0.290708192850059,0.12450488341673,0.337863934095829,"C4A","720"
"ENSG00000141425",646.754395333078,0.160299220369093,0.118863723493081,0.124582187367257,0.338016776805976,"RPRD1A","55197"
"ENSG00000106683",1187.33485100783,-0.198805307674689,0.160847372882489,0.124699719289,0.338278696323468,"LIMK1","3984"
"ENSG00000103966",596.14162792321,0.200759965859529,0.162404500766601,0.124762059353791,0.338390831355039,"EHD4","30844"
"ENSG00000166508",739.882332372532,-0.213357613181369,0.182960632775062,0.12480256930361,0.338443729010346,"MCM7","4176"
"ENSG00000167130",141.637465738651,-0.195558567478388,0.156285737446558,0.124905272966867,0.338665239442812,"DOLPP1","57171"
"ENSG00000233937",18.3320139461972,0.233862181360041,0.290219046913778,0.12493394091693,0.338685970404284,NA,NA
"ENSG00000162194",128.612142027105,0.199777387584439,0.16223919561565,0.124961976049367,0.338704979160726,"LBHD1","79081"
"ENSG00000013392",251.333236008544,-0.200199593369093,0.162262183428059,0.124994973508589,0.338737429469619,"RWDD2A","112611"
"ENSG00000142556",186.335404794813,-0.155892313135026,0.113012165202987,0.125050604539311,0.338831195716924,"ZNF614","80110"
"ENSG00000138029",2494.96471411934,0.166108749595074,0.122716065578839,0.125209649269858,0.339152605948578,"HADHB","3032"
"ENSG00000204463",3266.74332793178,-0.113567191805259,0.0778281922940447,0.125217901743903,0.339152605948578,"BAG6","7917"
"ENSG00000204338",12.4377522206787,-0.198660280219987,0.311415320603345,0.125232378672217,0.339152605948578,NA,NA
"ENSG00000158856",41.7827522634605,-0.236699137051214,0.26147518823581,0.125342809184773,0.339394621643006,"DMTN","2039"
"ENSG00000127948",871.952320257264,0.192100995021645,0.151624867259177,0.125367749534555,0.339400484101879,"POR","5447"
"ENSG00000253899",44.9075822722235,0.235928736984259,0.277059779535603,0.125393785426669,0.339400484101879,NA,NA
"ENSG00000263345",27.8957430500788,-0.237088368489829,0.262962609791937,0.125408173413102,0.339400484101879,NA,NA
"ENSG00000171724",16.2521540104511,-0.11327390997648,0.285613841311054,0.125437784787653,0.339423606099072,"VAT1L","57687"
"ENSG00000128626",239.071672855347,0.194445994512731,0.154298785375906,0.1255370170003,0.339603814996595,"MRPS12","6183"
"ENSG00000168970",32.9178842849933,-0.237250262167121,0.259480360298718,0.125546541004265,0.339603814996595,"JMJD7-PLA2G4B","8681"
"ENSG00000150764",1169.28733834517,0.207751713719579,0.180434525928888,0.12560084214829,0.339693665914235,"DIXDC1","85458"
"ENSG00000272894",14.7161275961048,0.206838393087782,0.311537181103989,0.125640526306619,0.339743960947624,NA,NA
"ENSG00000011260",409.479014433729,0.187829239877124,0.146459264024957,0.125697644661343,0.339841374918426,"UTP18","51096"
"ENSG00000156515",2432.59852757809,0.171537863807446,0.128186413901316,0.12574871586009,0.339922409600992,"HK1","3098"
"ENSG00000198865",148.135446274474,-0.223352552356891,0.203377611382904,0.125946403967985,0.340362542320613,"CCDC152","100129792"
"ENSG00000104714",306.128966510359,0.199748583192744,0.161333584722618,0.12596645717603,0.340362542320613,"ERICH1","157697"
"ENSG00000215271",185.896381400195,0.176910950844248,0.134208233004304,0.125974914025064,0.340362542320613,NA,NA
"ENSG00000184220",161.809343860338,0.181269909441693,0.138961118795737,0.126072674139358,0.340569559533735,"CMSS1","84319"
"ENSG00000110851",651.075362079451,0.122035241014725,0.0845286415852105,0.126113556626582,0.34062288529939,"PRDM4","11108"
"ENSG00000131480",23.9734231678719,0.234265690143059,0.284353813268748,0.126243997533188,0.340912234943057,"AOC2","314"
"ENSG00000062822",116.646020164935,-0.224972900084078,0.206383080229899,0.126269870636782,0.340912234943057,"POLD1","5424"
"ENSG00000229273",34.3327545069526,-0.23569710134257,0.244927684075266,0.126301825337793,0.340912234943057,NA,NA
"ENSG00000179978",209.561665871154,-0.233748484773589,0.246402019977389,0.126305327439334,0.340912234943057,NA,NA
"ENSG00000044459",492.444020268097,-0.203956461285406,0.169377386903903,0.12635289206313,0.34095766419098,"CNTLN","54875"
"ENSG00000023228",1606.75732161965,0.109581126155654,0.0753437589253051,0.126364484692716,0.34095766419098,"NDUFS1","4719"
"ENSG00000030582",11086.4102072803,-0.156082392789633,0.1154188440767,0.126431452491258,0.341081234274391,"GRN","2896"
"ENSG00000152137",658.025784535342,-0.20484728018571,0.170358421997989,0.12650861019402,0.341232248256464,"HSPB8","26353"
"ENSG00000139746",824.152254135764,-0.165818046896554,0.123234964674513,0.126567210509331,0.341333165134889,"RBM26","64062"
"ENSG00000056972",503.154154656758,0.188641692133849,0.147782919686037,0.126615397874239,0.341405970736712,"TRAF3IP2","10758"
"ENSG00000178397",268.300013747901,-0.142883398630867,0.101981565271178,0.126670464287117,0.34144616960985,"FAM220A","84792"
"ENSG00000115594",11584.9883326503,0.183202023628486,0.141273737176139,0.126672692927694,0.34144616960985,"IL1R1","3554"
"ENSG00000187531",214.536658745426,0.173944680864199,0.13155908035664,0.126703888481217,0.341469058304066,"SIRT7","51547"
"ENSG00000227946",19.0857536686846,0.226248457580841,0.296636806403871,0.126750847268894,0.341469058304066,NA,NA
"ENSG00000163749",46.3792598523227,-0.233725741543794,0.273591792902485,0.126763528512798,0.341469058304066,"CCDC158","339965"
"ENSG00000159335",4034.8471102458,0.195606204788092,0.155940891667103,0.126765963485607,0.341469058304066,"PTMS","5763"
"ENSG00000168528",1308.90286006381,0.219401907260148,0.195331998019529,0.126835550685229,0.34159939102135,"SERINC2","347735"
"ENSG00000069424",184.229636194085,0.181325760644057,0.139732954473138,0.12687642916368,0.341652373434072,"KCNAB2","8514"
"ENSG00000164932",2381.26582944534,0.143581677130895,0.297681090964686,0.126916327620998,0.341682475322208,"CTHRC1","115908"
"ENSG00000158793",353.732135568022,-0.144803386887312,0.103872491849964,0.126930023884515,0.341682475322208,"NIT1","4817"
"ENSG00000155465",146.072687682015,0.227437697141257,0.212429200242321,0.127291077234918,0.342597150907412,"SLC7A7","9056"
"ENSG00000119760",757.204705469147,-0.131481852934051,0.0926933848273029,0.127443478090346,0.342950037667207,"SUPT7L","9913"
"ENSG00000186205",64.7426556253097,-0.222531972547843,0.203108199056272,0.127512580481799,0.343078688066511,"MTARC1","64757"
"ENSG00000116035",13.6391336803011,0.221748928421572,0.303003596987341,0.12774620928869,0.343600056582305,"VAX2","25806"
"ENSG00000171169",159.712068736425,-0.164809027008257,0.122684915788299,0.12774901240941,0.343600056582305,"NAIF1","203245"
"ENSG00000134490",129.90276046605,0.197754331103781,0.160560946593051,0.127854565050023,0.343826556087619,"TMEM241","85019"
"ENSG00000146426",201.08648925974,-0.213952349812822,0.186949470901126,0.127960367438747,0.344053651502945,"TIAM2","26230"
"ENSG00000121310",935.522040627685,-0.194500942506813,0.155628887328105,0.12816826833207,0.344555142849653,"ECHDC2","55268"
"ENSG00000113966",92.637863930996,-0.201433765567771,0.165952228372947,0.128243708188964,0.344690213090706,"ARL6","84100"
"ENSG00000173295",45.8503967578179,-0.234888265059757,0.250372797951887,0.128261301438693,0.344690213090706,"FAM86B3P","286042"
"ENSG00000024422",11747.1552777097,0.145988528733393,0.106242748975002,0.12842346045402,0.345034164197685,"EHD2","30846"
"ENSG00000138036",397.629958737965,0.205864474342088,0.172008295884445,0.128432912016992,0.345034164197685,"DYNC2LI1","51626"
"ENSG00000129474",544.999327347513,-0.21079415293483,0.181777248264776,0.128453535898312,0.345034164197685,"AJUBA","84962"
"ENSG00000175356",93.5542725292045,0.219377626352826,0.302263368477807,0.12854177387296,0.345213622081556,"SCUBE2","57758"
